t,mode,x,y,z,h,e,r,gate,drive,effective_input
5.9,activator_moderator,1.418363087912419,0.390023694037023,-0.6306419219311871,0.45888066650313036,0.12441866179379518,2.122224227862175,0.3195214489175889,0.13240195446631137,0.13318387648198224
5.91,activator_moderator,1.4222633248527892,0.3837172748177112,-0.6384910240463223,0.45416378951867575,0.12483335849736844,2.1252023442951313,0.32006175218891514,0.13230939655298374,0.1330896682260144
5.92,activator_moderator,1.4261004976009664,0.37733236457724795,-0.6463539466786407,0.44946159726286417,0.1252487442301669,2.128139196769022,0.32060347777105386,0.13221975879528447,0.13299843443168663
5.93,activator_moderator,1.4298738212467388,0.37086882511046154,-0.6542301132476436,0.444776144167676,0.125664789308585,2.1310345628093748,0.32114658848688765,0.13213305494668362,0.13291018888006892
5.94,activator_moderator,1.4335825094978434,0.3643265239779851,-0.6621189390280506,0.4401094490161437,0.1260814639353029,2.133888232636696,0.32169104684939126,0.13204929786278116,0.13282494444447646
5.95,activator_moderator,1.4372257747376231,0.3577053345877046,-0.6700198311824204,0.4354634939332966,0.12649873820838067,2.1367000091364994,0.3222368150728229,0.13196849949545833,0.1327427130847044
5.96,activator_moderator,1.4408028280835001,0.35100513627588037,-0.6779321887970664,0.43084022342499073,0.12691658213039836,2.1394697078208265,0.3227838550840905,0.13189067088781126,0.13266350584204953
5.97,activator_moderator,1.444312879446259,0.3442258143879097,-0.6858554029212159,0.4262415434649276,0.12733496561763458,2.14219715678198,0.32333212853428067,0.13181582216985724,0.1325873328351084
5.98,activator_moderator,1.447755137590138,0.3373672603586976,-0.693788856609353,0.4216693206301051,0.12775385850927573,2.1448821966392657,0.3238815968103419,0.13174396255500256,0.13251420325634067
5.99,activator_moderator,1.451128810193725,0.33042937179260407,-0.7017319249666832,0.41712538128488225,0.12817323057664853,2.1475246804796,0.32443222104691266,0.13167510033725727,0.1324441253693823
6.0,activator_moderator,1.454433103911651,0.32341205254293726,-0.7096839751976526,0.41261151081377767,0.12859305153246844,2.1501244737929146,0.3249839621382826,0.13160924288917702,0.1323771065070887
6.01,activator_moderator,1.4576672244370803,0.31631521279096075,-0.7176443666574472,0.4081294529030612,0.1290132910400971,2.1526814544033326,0.32553678075047954,0.13154639666051204,0.1323131530702869
6.0200000000000005,activator_moderator,1.46083037656499,0.30913876912438626,-0.7256124509063977,0.4036809088711389,0.12943391872280166,2.1551955123971602,0.3260906373334707,0.1314865671775379,0.132252270527211
6.03,activator_moderator,1.4639217642562339,0.30188264461532227,-0.733587571767207,0.39926753704767315,0.12985490417300985,2.1576665500487806,0.32664549213347094,0.13142975904304052,0.1321944634135929
6.04,activator_moderator,1.4669405907023871,0.2945467688976502,-0.7415690653849177,0.39489095220132,0.1302762169615541,2.1600944817455767,0.3272013052053466,0.13137597593692454,0.1321397353333767
6.05,activator_moderator,1.4698860583913635,0.287131078243801,-0.7495562602895304,0.3905527250159111,0.13069782664689916,2.1624792339130505,0.3277580364251081,0.13132522061741367,0.13208808896002455
6.0600000000000005,activator_moderator,1.4727573691738016,0.2796355156409057,-0.7575484774611828,0.3862543816148504,0.13111970278434765,2.1648207449413324,0.328315645502482,0.1312774949228054,0.13203952603837654
6.07,activator_moderator,1.4755537243302106,0.2720600308662939,-0.765545030397797,0.3819974031334408,0.13154181493521802,2.167118965114291,0.3288740919935541,0.131232799773745,0.13199404738702714
6.08,activator_moderator,1.4782743246388734,0.2644045805623159,-0.7735452251850959,0.3777832253388042,0.13196413267599064,2.1693738565424687,0.3294333353134766,0.13119113517597727,0.13195165290117833
6.09,activator_moderator,1.4809183704444966,0.25666912831046496,-0.7815483605688959,0.3736132382970031,0.13238662560741726,2.1715853931010605,0.32999333474923176,0.13115250022353678,0.1319123415559274
6.1000000000000005,activator_moderator,1.4834850617276012,0.248853644704776,-0.7895537280295706,0.3694887860869244,0.13280926336359022,2.1737535603741525,0.3305540494724441,0.1311168931023334,0.1318761114099465
6.11,activator_moderator,1.485973598174649,0.2409581074244803,-0.7975606118585896,0.36541116656043415,0.1332320156209675,2.1758783556064047,0.3311154385522375,0.13108431109409094,0.13184295960951128
6.12,activator_moderator,1.4883831792488937,0.2329825013058944,-0.8055682892370268,0.3613816311482645,0.1336548521073511,2.177959787663334,0.33167746096812734,0.13105475058059451,0.13181288239283262
6.13,activator_moderator,1.4907130042619527,0.22492681841352413,-0.8135760303159367,0.35740138471104776,0.13407774261081537,2.179997877001302,0.33224007562294633,0.1310282070482035,0.1317858750946489
6.140000000000001,activator_moderator,1.492962272446088,0.21679105811036475,-0.8215830982984955,0.3534715854348678,0.1345006569885841,2.1819926556482554,0.33280324135579586,0.13100467509258734,0.131761932151034
6.15,activator_moderator,1.4951301830271917,0.2085752271273798,-0.8295887495238028,0.34959334477065424,0.1349235651758534,2.1839441671961892,0.33336691695502063,0.13098414842364012,0.13174104710437787
6.16,activator_moderator,1.4972159352984655,0.20027933963214178,-0.8375922335522403,0.34576772741670514,0.13534643719456013,2.185852466806216,0.3339310611712011,0.1309666198705345,0.13172321260849812
6.17,activator_moderator,1.499218728694787,0.1919034172966194,-0.8455927932522858,0.34199575134358157,0.1357692431620941,2.1877176212270215,0.3344956327301618,0.13095208138687436,0.13170842043384268
6.18,activator_moderator,1.5011377628677531,0.18344748936409652,-0.853589664888677,0.3382783878605812,0.13619195329995396,2.1895397088273727,0.33506059034599117,0.13094052405590906,0.13169666147274506
6.19,activator_moderator,1.502972237761394,0.17491159271520976,-0.8615820782118272,0.3346165617229597,0.13661453794234624,2.1913188196432065,0.33562589273407145,0.13093193809577502,0.13168792574469826
6.2,activator_moderator,1.5047213536885462,0.16629577193309147,-0.8695692565483887,0.33101115127903585,0.13703696754472774,2.1930550554396935,0.3361914986241158,0.13092631286473302,0.1316822024016143
6.21,activator_moderator,1.5063843114078772,0.1576000793676076,-0.8775504168928667,0.32746298865628065,0.13745921269229164,2.1947485297885017,0.33675736677321155,0.13092363686637398,0.13167947973304295
6.22,activator_moderator,1.5079603122015532,0.14882457519867892,-0.885524770000186,0.3239728599854629,0.1378812441083978,2.1963993681603218,0.33732345597886826,0.13092389775476915,0.1316797451713244
6.23,activator_moderator,1.50944855795354,0.13996932749867705,-0.8934915204791124,0.32054150566189143,0.13830303266294813,2.1980077080325313,0.33788972509206805,0.13092708233954653,0.13168298529665817
